               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,            0.058018,            0.010435,                   0,             0.62982,             0.64062,             0.72799,             0.36219,            0.055127,            0.006904,                   0,           0.0069558,           0.0069558,           0.0069558
                 125,            0.057079,            0.011177,                   0,             0.97869,              0.7175,             0.84051,             0.46969,            0.050027,           0.0070477,                   0,            0.006931,            0.006931,            0.006931
                 126,            0.056993,            0.012376,                   0,             0.95702,              0.6959,             0.85041,              0.4591,            0.046434,           0.0071351,                   0,           0.0069063,           0.0069063,           0.0069063
                 127,            0.051828,            0.010412,                   0,             0.56033,             0.77664,             0.67075,             0.37484,            0.049481,           0.0069735,                   0,           0.0068815,           0.0068815,           0.0068815
                 128,            0.061757,           0.0089977,                   0,             0.56033,             0.77664,             0.67075,             0.37484,            0.049481,           0.0069735,                   0,           0.0068568,           0.0068568,           0.0068568
                 129,             0.05645,            0.011512,                   0,             0.95817,             0.70312,             0.85031,             0.38624,            0.048482,            0.007012,                   0,            0.006832,            0.006832,            0.006832
                 130,            0.061232,            0.011403,                   0,             0.96894,             0.70312,              0.8569,             0.54305,            0.042902,           0.0071662,                   0,           0.0068073,           0.0068073,           0.0068073
                 131,            0.055609,            0.012339,                   0,                   1,             0.66778,              0.8167,             0.44084,            0.044046,            0.007126,                   0,           0.0067825,           0.0067825,           0.0067825
                 132,            0.054873,            0.013565,                   0,                   1,             0.66778,              0.8167,             0.44084,            0.044046,            0.007126,                   0,           0.0067577,           0.0067577,           0.0067577
                 133,            0.055981,           0.0095692,                   0,             0.92473,             0.76788,             0.85957,             0.41503,             0.04325,           0.0071087,                   0,            0.006733,            0.006733,            0.006733
                 134,            0.050919,            0.011283,                   0,             0.94748,             0.71875,             0.85713,             0.40405,            0.042702,           0.0070227,                   0,           0.0067082,           0.0067082,           0.0067082
                 135,             0.05012,            0.012437,                   0,             0.51527,              0.8305,             0.72279,             0.38108,            0.046997,           0.0068618,                   0,           0.0066835,           0.0066835,           0.0066835
                 136,            0.055609,           0.0096808,                   0,             0.51527,              0.8305,             0.72279,             0.38108,            0.046997,           0.0068618,                   0,           0.0066587,           0.0066587,           0.0066587
                 137,            0.062082,           0.0096095,                   0,             0.79244,             0.47733,             0.76428,              0.3734,            0.047359,           0.0067244,                   0,            0.006634,            0.006634,            0.006634
                 138,             0.05696,           0.0095315,                   0,             0.98989,             0.65625,             0.83769,             0.52688,             0.04487,           0.0066429,                   0,           0.0066092,           0.0066092,           0.0066092
                 139,            0.051882,            0.012158,                   0,              0.9933,             0.65625,             0.84612,             0.39007,            0.048119,           0.0065234,                   0,           0.0065845,           0.0065845,           0.0065845
